District,Code,Taluks,Shops,Cards,Customers,Aadhaar,Mobile,Details
திருவள்ளூர்,01,9,1110,653287,1953205,1873088,653226,பொருட்களின் விவரங்கள்
வட சென்னை,02,10,910,1094124,3582999,3533569,1093498,பொருட்களின் விவரங்கள்
தென் சென்னை,02,9,917,1178658,3846275,3783847,1178654,பொருட்களின் விவரங்கள்
காஞ்சிபுரம்,03,5,634,419774,1314660,1296621,419741,பொருட்களின் விவரங்கள்
வேலூர்,04,6,699,460371,1479845,1467919,459979,பொருட்களின் விவரங்கள்
திருவண்ணாமலை,05,12,1627,792518,2411597,2405562,792494,பொருட்களின் விவரங்கள்
விழுப்புரம்,06,9,1254,632939,1965502,1946699,632914,பொருட்களின் விவரங்கள்
சேலம்,07,14,1541,1119502,3380266,3367555,1119460,பொருட்களின் விவரங்கள்
நாமக்கல்,08,8,914,551423,1576557,1571781,551394,பொருட்களின் விவரங்கள்
ஈரோடு,09,10,1137,766045,2065460,2059306,766031,பொருட்களின் விவரங்கள்
நீலகிரி,10,6,395,220150,633746,632488,220080,பொருட்களின் விவரங்கள்
திண்டுக்கல்,11,10,1111,701749,2054506,2054350,701740,பொருட்களின் விவரங்கள்
கருர்,12,7,583,341675,1016959,1010914,341674,பொருட்களின் விவரங்கள்
திருச்சிராப்பள்ளி,13,11,1211,858878,2660320,2651649,858872,பொருட்களின் விவரங்கள்
பெரம்பலூர்,14,4,282,195139,585165,583252,195139,பொருட்களின் விவரங்கள்
அரியலூர்,15,4,442,252791,775318,767745,252773,பொருட்களின் விவரங்கள்
கடலூர்,16,10,1415,794064,2497599,2481133,794025,பொருட்களின் விவரங்கள்
நாகப்பட்டினம்,17,4,354,220080,664366,661039,220070,பொருட்களின் விவரங்கள்
திருவாரூர்,18,9,714,397407,1221241,1215201,397365,பொருட்களின் விவரங்கள்
தஞ்சாவூர்,19,10,1183,717429,2342338,2337147,717401,பொருட்களின் விவரங்கள்
புதுக்கோட்டை,20,12,1002,499439,1669680,1663373,499437,பொருட்களின் விவரங்கள்
சிவகங்கை,21,9,829,422576,1337194,1333296,422555,பொருட்களின் விவரங்கள்
மதுரை,22,11,1394,986593,2971142,2952257,986492,பொருட்களின் விவரங்கள்
தேனி,23,5,517,437779,1222386,1211076,437669,பொருட்களின் விவரங்கள்
விருதுநகர்,24,10,961,618468,1841834,1844060,618467,பொருட்களின் விவரங்கள்
இராமநாதபுரம்,25,9,775,405958,1272091,1246517,405937,பொருட்களின் விவரங்கள்
தூத்துக்குடி,26,10,957,552645,1709030,1700873,552576,பொருட்களின் விவரங்கள்
திருநெல்வேலி,27,8,796,517562,1615778,1611516,517558,பொருட்களின் விவரங்கள்
கன்னியாகுமரி,28,6,765,584695,1931091,1926913,584685,பொருட்களின் விவரங்கள்
தர்மபுரி,29,7,1048,478309,1543926,1536257,478304,பொருட்களின் விவரங்கள்
கிருஷ்ணகிரி,30,8,1094,582829,1883409,1860909,582756,பொருட்களின் விவரங்கள்
கோயம்புத்தூர்,31,12,1401,1165808,3438552,3411983,1165779,பொருட்களின் விவரங்கள்
திருப்பூர்,32,9,1135,823589,2313400,2291556,823531,பொருட்களின் விவரங்கள்
தென்காசி,33,8,658,485210,1463980,1463287,485116,பொருட்களின் விவரங்கள்
கள்ளக்குறிச்சி,34,7,766,447762,1440571,1430615,447707,பொருட்களின் விவரங்கள்
இராணிப்பேட்டை,35,6,614,354562,1123868,1119738,354451,பொருட்களின் விவரங்கள்
திருப்பத்தூர்,36,4,509,339448,1156548,1155178,339402,பொருட்களின் விவரங்கள்
செங்கல்பட்டு,37,6,841,456725,1385069,1361360,456676,பொருட்களின் விவரங்கள்
மயிலாடுதுறை,38,4,413,289361,885237,877583,289346,பொருட்களின் விவரங்கள்
